"first_name","year","rank"
"Debra",1932,"838"
"Austin",1933,"581"
"Hannah",1933,"651"
"Justin",1933,"749"
"Taylor",1933,"777"
"Melissa",1933,"797"
"Debra",1933,"811"
"Mia",1933,"842"
"Austin",1934,"621"
"Hannah",1934,"630"
"Taylor",1934,"787"
"Justin",1934,"791"
"Debra",1934,"808"
"Melissa",1934,"816"
"Austin",1935,"624"
"Hannah",1935,"638"
"Taylor",1935,"753"
"Justin",1935,"768"
"Melissa",1935,"776"
"Debra",1935,"787"
"Austin",1936,"623"
"Hannah",1936,"693"
"Taylor",1936,"799"
"Justin",1936,"802"
"Melissa",1936,"807"
"Debra",1936,"807"
"Austin",1937,"636"
"Hannah",1937,"671"
"Melissa",1937,"779"
"Taylor",1937,"784"
"Debra",1937,"790"
"Justin",1937,"797"
"Austin",1938,"656"
"Hannah",1938,"667"
"Melissa",1938,"776"
"Justin",1938,"776"
"Taylor",1938,"786"
"Debra",1938,"801"
"Hannah",1939,"669"
"Austin",1939,"671"
"Melissa",1939,"757"
"Justin",1939,"783"
"Debra",1939,"799"
"Taylor",1939,"808"
"Austin",1940,"638"
"Hannah",1940,"687"
"Melissa",1940,"775"
"Debra",1940,"785"
"Justin",1940,"786"
"Taylor",1940,"797"
"Mia",1940,"865"
"Austin",1941,"656"
"Hannah",1941,"702"
"Melissa",1941,"739"
"Debra",1941,"782"
"Justin",1941,"787"
"Taylor",1941,"809"
"Austin",1942,"662"
"Hannah",1942,"732"
"Melissa",1942,"788"
"Justin",1942,"835"
"Debra",1942,"835"
"Taylor",1942,"875"
"Mia",1942,"935"
"Austin",1943,"653"
"Hannah",1943,"735"
"Melissa",1943,"739"
"Justin",1943,"821"
"Debra",1943,"824"
"Taylor",1943,"842"
"Mia",1943,"918"
"Austin",1944,"690"
"Debra",1944,"707"
"Melissa",1944,"745"
"Hannah",1944,"756"
"Justin",1944,"816"
"Taylor",1944,"862"
"Mia",1944,"913"
"Austin",1945,"676"
"Debra",1945,"712"
"Melissa",1945,"728"
"Hannah",1945,"761"
"Justin",1945,"792"
"Taylor",1945,"842"
"Mia",1945,"906"
"Debra",1946,"598"
"Austin",1946,"706"
"Melissa",1946,"762"
"Hannah",1946,"812"
"Justin",1946,"815"
"Taylor",1946,"878"
"Mia",1946,"943"
"Debra",1947,"515"
"Melissa",1947,"707"
"Austin",1947,"757"
"Hannah",1947,"819"
"Justin",1947,"854"
"Taylor",1947,"918"
"Mia",1947,"988"
"Debra",1948,"387"
"Melissa",1948,"529"
"Austin",1948,"757"
"Hannah",1948,"804"
"Justin",1948,"850"
"Taylor",1948,"901"
"Mia",1948,"969"
"Debra",1949,"249"
"Melissa",1949,"477"
"Austin",1949,"800"
"Justin",1949,"815"
"Hannah",1949,"818"
"Taylor",1949,"891"
"Mia",1949,"965"
"Debra",1950,"112"
"Melissa",1950,"427"
"Austin",1950,"767"
"Hannah",1950,"838"
"Justin",1950,"874"
"Taylor",1950,"919"
"Mia",1950,"982"
"Debra",1951,"41"
"Melissa",1951,"405"
"Austin",1951,"766"
"Hannah",1951,"847"
"Justin",1951,"877"
"Taylor",1951,"938"
"Mia",1951,"984"
"Debra",1952,"24"
"Melissa",1952,"369"
"Austin",1952,"804"
"Justin",1952,"840"
"Hannah",1952,"862"
"Taylor",1952,"911"
"Mia",1952,"983"
"Debra",1953,"17"
"Melissa",1953,"300"
"Austin",1953,"837"
"Justin",1953,"875"
"Hannah",1953,"893"
"Taylor",1953,"958"
"Mia",1953,"1016"
"Debra",1954,"14"
"Melissa",1954,"310"
"Austin",1954,"833"
"Justin",1954,"854"
"Hannah",1954,"913"
"Taylor",1954,"978"
"Mia",1954,"1020"
"Debra",1955,"11"
"Melissa",1955,"283"
"Justin",1955,"824"
"Austin",1955,"864"
"Hannah",1955,"931"
"Taylor",1955,"988"
"Mia",1955,"1024"
"Debra",1956,"10"
"Melissa",1956,"274"
"Justin",1956,"825"
"Austin",1956,"873"
"Hannah",1956,"956"
"Taylor",1956,"1013"
"Mia",1956,"1058"
"Debra",1957,"13"
"Melissa",1957,"279"
"Justin",1957,"829"
"Austin",1957,"882"
"Hannah",1957,"990"
"Taylor",1957,"1018"
"Mia",1957,"1073"
"Debra",1958,"15"
"Melissa",1958,"249"
"Justin",1958,"826"
"Austin",1958,"919"
"Hannah",1958,"993"
"Taylor",1958,"1015"
"Mia",1958,"1084"
"Debra",1959,"17"
"Melissa",1959,"235"
"Justin",1959,"791"
"Austin",1959,"923"
"Hannah",1959,"978"
"Taylor",1959,"1011"
"Mia",1959,"1063"
"Debra",1960,"24"
"Melissa",1960,"205"
"Justin",1960,"780"
"Austin",1960,"918"
"Hannah",1960,"987"
"Taylor",1960,"1017"
"Mia",1960,"1068"
"Debra",1961,"34"
"Melissa",1961,"180"
"Justin",1961,"712"
"Austin",1961,"927"
"Hannah",1961,"981"
"Taylor",1961,"1019"
"Mia",1961,"1083"
"Debra",1962,"37"
"Melissa",1962,"133"
"Justin",1962,"694"
"Austin",1962,"934"
"Hannah",1962,"991"
"Taylor",1962,"1040"
"Mia",1962,"1048"
"Debra",1963,"47"
"Melissa",1963,"116"
"Justin",1963,"701"
"Austin",1963,"915"
"Hannah",1963,"989"
"Mia",1963,"1030"
"Taylor",1963,"1039"
"Debra",1964,"53"
"Melissa",1964,"98"
"Justin",1964,"689"
"Mia",1964,"822"
"Austin",1964,"901"
"Hannah",1964,"975"
"Taylor",1964,"1010"
"Debra",1965,"59"
"Melissa",1965,"75"
"Mia",1965,"475"
"Justin",1965,"694"
"Austin",1965,"888"
"Hannah",1965,"972"
"Taylor",1965,"1014"
"Melissa",1966,"51"
"Debra",1966,"68"
"Mia",1966,"558"
"Justin",1966,"659"
"Austin",1966,"881"
"Hannah",1966,"948"
"Taylor",1966,"982"
"Melissa",1967,"31"
"Debra",1967,"72"
"Mia",1967,"548"
"Justin",1967,"592"
"Austin",1967,"879"
"Hannah",1967,"960"
"Taylor",1967,"988"
"Melissa",1968,"25"
"Debra",1968,"76"
"Justin",1968,"428"
"Mia",1968,"571"
"Austin",1968,"896"
"Hannah",1968,"949"
"Taylor",1968,"949"
"Melissa",1969,"23"
"Debra",1969,"86"
"Justin",1969,"349"
"Mia",1969,"710"
"Austin",1969,"934"
"Hannah",1969,"975"
"Taylor",1969,"983"
"Melissa",1970,"24"
"Debra",1970,"97"
"Justin",1970,"273"
"Mia",1970,"712"
"Austin",1970,"870"
"Hannah",1970,"951"
"Taylor",1970,"985"
"Melissa",1971,"22"
"Debra",1971,"114"
"Justin",1971,"221"
"Mia",1971,"698"
"Austin",1971,"862"
"Hannah",1971,"947"
"Taylor",1971,"961"
"Melissa",1972,"19"
"Justin",1972,"123"
"Debra",1972,"130"
"Mia",1972,"713"
"Hannah",1972,"848"
"Austin",1972,"862"
"Taylor",1972,"947"
"Melissa",1973,"17"
"Justin",1973,"94"
"Debra",1973,"156"
"Mia",1973,"764"
"Hannah",1973,"806"
"Austin",1973,"822"
"Taylor",1973,"929"
"Melissa",1974,"18"
"Justin",1974,"79"
"Debra",1974,"174"
"Mia",1974,"731"
"Hannah",1974,"781"
"Austin",1974,"793"
"Taylor",1974,"873"
"Melissa",1975,"14"
"Justin",1975,"60"
"Debra",1975,"221"
"Hannah",1975,"695"
"Austin",1975,"707"
"Mia",1975,"744"
"Taylor",1975,"867"
"Melissa",1976,"12"
"Justin",1976,"56"
"Debra",1976,"261"
"Hannah",1976,"626"
"Austin",1976,"633"
"Mia",1976,"754"
"Taylor",1976,"791"
"Melissa",1977,"11"
"Justin",1977,"49"
"Debra",1977,"279"
"Austin",1977,"567"
"Hannah",1977,"589"
"Mia",1977,"698"
"Taylor",1977,"700"
"Melissa",1978,"11"
"Justin",1978,"44"
"Debra",1978,"286"
"Austin",1978,"473"
"Hannah",1978,"542"
"Mia",1978,"635"
"Taylor",1978,"677"
"Melissa",1979,"10"
"Justin",1979,"34"
"Debra",1979,"317"
"Austin",1979,"450"
"Hannah",1979,"461"
"Mia",1979,"623"
"Taylor",1979,"630"
"Melissa",1980,"13"
"Justin",1980,"17"
"Debra",1980,"337"
"Hannah",1980,"404"
"Austin",1980,"414"
"Taylor",1980,"513"
"Mia",1980,"580"
"Melissa",1981,"16"
"Justin",1981,"17"
"Austin",1981,"343"
"Hannah",1981,"360"
"Debra",1981,"376"
"Taylor",1981,"418"
"Mia",1981,"566"
"Justin",1982,"15"
"Melissa",1982,"19"
"Austin",1982,"305"
"Hannah",1982,"335"
"Taylor",1982,"338"
"Debra",1982,"385"
"Mia",1982,"653"
"Justin",1983,"16"
"Melissa",1983,"24"
"Hannah",1983,"234"
"Austin",1983,"261"
"Taylor",1983,"314"
"Debra",1983,"426"
"Mia",1983,"705"
"Justin",1984,"17"
"Melissa",1984,"27"
"Austin",1984,"235"
"Taylor",1984,"249"
"Hannah",1984,"250"
"Debra",1984,"447"
"Mia",1984,"717"
"Justin",1985,"19"
"Melissa",1985,"33"
"Taylor",1985,"203"
"Austin",1985,"208"
"Hannah",1985,"237"
"Debra",1985,"493"
"Mia",1985,"702"
"Justin",1986,"19"
"Melissa",1986,"37"
"Hannah",1986,"171"
"Austin",1986,"177"
"Taylor",1986,"178"
"Debra",1986,"541"
"Mia",1986,"700"
"Justin",1987,"13"
"Melissa",1987,"38"
"Hannah",1987,"137"
"Austin",1987,"145"
"Taylor",1987,"151"
"Debra",1987,"613"
"Mia",1987,"666"
"Justin",1988,"10"
"Melissa",1988,"41"
"Taylor",1988,"116"
"Austin",1988,"124"
"Hannah",1988,"126"
"Mia",1988,"627"
"Debra",1988,"628"
"Justin",1989,"12"
"Melissa",1989,"50"
"Taylor",1989,"85"
"Hannah",1989,"99"
"Austin",1989,"108"
"Mia",1989,"632"
"Debra",1989,"704"
"Justin",1990,"13"
"Melissa",1990,"54"
"Taylor",1990,"55"
"Hannah",1990,"78"
"Austin",1990,"99"
"Mia",1990,"605"
"Debra",1990,"747"
"Justin",1991,"18"
"Taylor",1991,"39"
"Melissa",1991,"54"
"Hannah",1991,"70"
"Austin",1991,"86"
"Mia",1991,"601"
"Debra",1991,"789"
"Justin",1992,"24"
"Taylor",1992,"26"
"Melissa",1992,"61"
"Austin",1992,"62"
"Hannah",1992,"64"
"Mia",1992,"587"
"Debra",1992,"896"
"Taylor",1993,"8"
"Justin",1993,"27"
"Austin",1993,"35"
"Hannah",1993,"56"
"Melissa",1993,"70"
"Mia",1993,"599"
"Debra",1993,"895"
"Taylor",1994,"12"
"Austin",1994,"21"
"Justin",1994,"26"
"Hannah",1994,"44"
"Melissa",1994,"76"
"Mia",1994,"570"
"Debra",1994,"916"
"Austin",1995,"12"
"Taylor",1995,"13"
"Justin",1995,"23"
"Hannah",1995,"31"
"Melissa",1995,"82"
"Mia",1995,"483"
"Debra",1995,"990"
"Austin",1996,"9"
"Taylor",1996,"15"
"Justin",1996,"26"
"Hannah",1996,"28"
"Melissa",1996,"93"
"Mia",1996,"356"
"Debra",1996,"1003"
"Austin",1997,"11"
"Taylor",1997,"13"
"Hannah",1997,"23"
"Justin",1997,"29"
"Melissa",1997,"100"
"Mia",1997,"263"
"Debra",1997,"1048"
"Austin",1998,"11"
"Taylor",1998,"14"
"Hannah",1998,"17"
"Justin",1998,"29"
"Melissa",1998,"130"
"Mia",1998,"269"
"Debra",1998,"1060"
"Hannah",1999,"12"
"Austin",1999,"16"
"Taylor",1999,"21"
"Justin",1999,"27"
"Melissa",1999,"148"
"Mia",1999,"256"
"Debra",1999,"1086"
"Hannah",2000,"9"
"Taylor",2000,"25"
"Justin",2000,"26"
"Austin",2000,"32"
"Melissa",2000,"161"
"Mia",2000,"204"
"Debra",2000,"1124"
"Hannah",2001,"12"
"Justin",2001,"28"
"Taylor",2001,"30"
"Austin",2001,"34"
"Melissa",2001,"169"
"Mia",2001,"176"
"Debra",2001,"1154"
"Hannah",2002,"15"
"Justin",2002,"31"
"Austin",2002,"34"
"Taylor",2002,"41"
"Mia",2002,"111"
"Melissa",2002,"183"
"Debra",2002,"1168"
"Hannah",2003,"20"
"Justin",2003,"41"
"Taylor",2003,"46"
"Austin",2003,"49"
"Mia",2003,"98"
"Melissa",2003,"209"
"Debra",2003,"1191"
"Hannah",2004,"24"
"Justin",2004,"46"
"Taylor",2004,"52"
"Austin",2004,"53"
"Mia",2004,"91"
"Melissa",2004,"223"
"Debra",2004,"1218"
"Hannah",2005,"26"
"Mia",2005,"53"
"Justin",2005,"55"
"Taylor",2005,"56"
"Austin",2005,"58"
"Melissa",2005,"237"
"Debra",2005,"1238"
"Hannah",2006,"29"
"Mia",2006,"45"
"Austin",2006,"61"
"Taylor",2006,"64"
"Justin",2006,"68"
"Melissa",2006,"255"
"Debra",2006,"1254"
"Hannah",2007,"36"
"Mia",2007,"53"
"Justin",2007,"64"
"Taylor",2007,"69"
"Austin",2007,"70"
"Melissa",2007,"300"
"Debra",2007,"1267"
"Mia",2008,"52"
"Taylor",2008,"59"
"Hannah",2008,"62"
"Justin",2008,"66"
"Austin",2008,"82"
"Melissa",2008,"288"
"Debra",2008,"1301"
"Mia",2009,"40"
"Taylor",2009,"62"
"Justin",2009,"64"
"Hannah",2009,"84"
"Austin",2009,"88"
"Melissa",2009,"304"
"Debra",2009,"1313"
"Mia",2010,"41"
"Justin",2010,"70"
"Hannah",2010,"86"
"Austin",2010,"87"
"Taylor",2010,"90"
"Melissa",2010,"338"
"Debra",2010,"1269"
"Mia",2011,"34"
"Justin",2011,"80"
"Austin",2011,"81"
"Hannah",2011,"92"
"Taylor",2011,"108"
"Melissa",2011,"384"
"Debra",2011,"1288"
"Mia",2012,"30"
"Hannah",2012,"79"
"Austin",2012,"83"
"Justin",2012,"110"
"Taylor",2012,"115"
"Melissa",2012,"379"
"Debra",2012,"1302"
"Mia",2013,"21"
"Hannah",2013,"76"
"Austin",2013,"93"
"Taylor",2013,"129"
"Justin",2013,"130"
"Melissa",2013,"424"
"Debra",2013,"1309"
"Mia",2014,"20"
"Hannah",2014,"93"
"Austin",2014,"96"
"Taylor",2014,"148"
"Justin",2014,"169"
"Melissa",2014,"445"
"Debra",2014,"1323"
"Mia",2015,"12"
"Hannah",2015,"89"
"Austin",2015,"101"
"Taylor",2015,"158"
"Justin",2015,"188"
"Melissa",2015,"510"
"Debra",2015,"1379"
"Mia",2016,"13"
"Hannah",2016,"98"
"Austin",2016,"110"
"Taylor",2016,"174"
"Justin",2016,"197"
"Melissa",2016,"527"
"Debra",2016,"1348"
"Mia",2017,"13"
"Hannah",2017,"96"
"Austin",2017,"115"
"Taylor",2017,"220"
"Justin",2017,"230"
"Melissa",2017,"537"
"Debra",2017,"1331"
"Mia",2018,"15"
"Hannah",2018,"99"
"Austin",2018,"122"
"Taylor",2018,"229"
"Justin",2018,"255"
"Melissa",2018,"563"
"Debra",2018,"1335"
"Mia",2019,"15"
"Hannah",2019,"96"
"Austin",2019,"133"
"Justin",2019,"276"
"Taylor",2019,"280"
"Melissa",2019,"634"
"Debra",2019,"1336"
"Mia",2020,"16"
"Hannah",2020,"107"
"Austin",2020,"139"
"Justin",2020,"286"
"Taylor",2020,"298"
"Melissa",2020,"623"
"Debra",2020,"1309"
"Mia",2021,"17"
"Hannah",2021,"123"
"Austin",2021,"154"
"Justin",2021,"310"
"Taylor",2021,"333"
"Melissa",2021,"674"
"Debra",2021,"1334"
"Mia",2022,"15"
"Hannah",2022,"123"
"Austin",2022,"171"
"Justin",2022,"322"
"Taylor",2022,"363"
"Melissa",2022,"688"
"Debra",2022,"1374"
"Mia",2023,"11"
"Hannah",2023,"135"
"Austin",2023,"164"
"Justin",2023,"330"
"Taylor",2023,"382"
"Melissa",2023,"741"
"Debra",2023,"1380"
"Mia",2024,"8"
"Hannah",2024,"138"
"Austin",2024,"169"
"Justin",2024,"366"
"Taylor",2024,"486"
"Melissa",2024,"687"
"Debra",2024,"1345"
"Mia",2025,"13"
"Hannah",2025,"139"
"Austin",2025,"185"
"Justin",2025,"416"
"Taylor",2025,"518"
"Melissa",2025,"733"
"Debra",2025,"1355"
