"first_name","early_male","early_female","recent_female","recent_male"
"Linn","1328","696","148","122"
"Chaka","37","0","841","225"
"Malin","21","0","840","209"
"Weslie","221","12","616","174"
"Tomie","893","364","112","11"
"Selby","550","38","255","138"
"Americus","142","0","480","0"
"Lesslie","142","16","483","0"
"Matty","111","106","653","60"
"Brazil","5","0","653","64"
"Tallie","112","43","518","0"
"Lorren","316","45","364","52"
"Wallis","608","292","281","17"
"Pleasant","629","62","11","0"
"Posie","60","11","522","0"
"Aubery","484","0","103","19"
"Sonnie","495","149","602","384"
"Lan","55","0","769","263"
"Landry","299","0","5842","5580"
"Teddie","1170","702","379","288"
"Samie","587","85","97","44"
"Embry","108","0","712","271"
"Lemmie","661","130","20","5"
"Colie","520","15","86","47"
"Alyn","221","28","449","100"
"Carle","445","21","123","17"
"Morley","507","7","41","11"
"Aster","124","59","693","232"
"Windsor","304","0","476","260"
"Estes","512","11","45","33"
"Laren","220","56","495","150"
"Lannie","1605","1211","355","253"
"Fiore","460","0","35","5"
"Bradie","77","24","558","124"
"Lenzie","331","0","184","42"
"Lenzy","437","0","54","30"
"Harvest","153","0","441","135"
"Ivery","648","275","230","149"
"Embree","10","0","444","0"
"Lorrin","205","0","244","10"
"Arin","49","17","2590","2198"
"Lace","16","5","412","0"
"Romey","259","0","231","68"
"Stevee","11","0","403","0"
"English","181","15","250","5"
"Talley","69","5","355","12"
"Vail","45","10","424","68"
"Ellington","42","0","1004","658"
"Harlo","122","0","447","184"
"Rooney","97","0","858","574"
"Toy","1019","736","231","133"
"Grier","137","0","424","195"
"Bay","21","0","523","183"
"Daley","19","0","472","133"
"Dailey","86","0","284","15"
"Meron","5","0","394","45"
"Smiley","352","0","6","5"
"Worthy","346","0","64","58"
"Raney","58","19","323","13"
"Dalis","6","0","347","10"
"Linzey","16","0","325","0"
"Dabney","205","115","276","27"
"Lin","684","602","432","179"
"Daily","68","0","271","5"
"Shade","310","0","869","846"
"Aubra","305","5","32","5"
"Hiromi","16","10","312","0"
"Mc","166","0","209","61"
"Atley","34","0","901","625"
"Hilliary","5","0","303","0"
"Iley","108","0","191","0"
"Masami","288","0","10","0"
"Kearney","259","0","52","16"
"Mckenley","12","0","307","29"
"Hong","17","0","450","181"
"Sequoyah","5","0","477","196"
"Corley","87","0","366","168"
"Esley","245","0","58","23"
"Clary","172","98","210","5"
"Shenandoah","40","18","329","72"
"Amel","214","0","476","416"
"Katsumi","265","0","5","0"
"Briane","10","0","296","45"
"Rogue","24","0","659","423"
"Waverley","11","0","241","0"
"Happy","211","65","205","99"
"Jolly","337","97","22","11"
"Maitland","185","11","115","41"
"Dann","945","851","294","144"
"Gradie","415","191","31","11"
"Staley","172","5","152","84"
"Mabrey","5","0","230","0"
"Numa","152","0","99","18"
"Searcy","226","6","5","0"
"Willoughby","177","0","91","46"
"Amzie","55","0","163","0"
"Vale","52","16","324","147"
"Chancie","22","0","191","5"
"Emary","13","0","193","0"
"Rossi","51","0","394","243"
"Chi","6","5","758","557"
"Raymie","97","38","156","15"
"Hawley","145","5","62","5"
"Mell","342","177","25","0"
"Jessel","10","0","174","0"
"Ande","11","0","202","30"
"Rudie","131","5","67","12"
"Le","422","386","492","353"
"Rocklyn","24","0","154","5"
"Rannie","205","40","5","0"
"Bobie","377","314","106","0"
"Currie","153","0","54","42"
"Ramey","158","7","425","415"
"Harly","6","0","175","22"
"Bergen","5","0","551","398"
"Arbor","5","0","401","249"
"Man","105","0","150","102"
"Nemiah","151","0","80","79"
"Day","90","28","138","52"
"Stevey","18","0","135","5"
"Eri","10","0","513","381"
"Swan","101","7","71","23"
"Karle","51","0","94","5"
"Graylyn","5","0","134","0"
"Farrin","15","0","123","0"
"Sibley","18","0","117","0"
"Sugar","35","14","121","11"
"Lenis","164","41","14","6"
"Fortune","29","23","303","179"
"Elis","47","0","320","239"
"Hollan","17","0","129","20"
"Eslie","60","0","66","0"
"Alvia","441","355","38","0"
"Hager","84","0","39","0"
"Clarion","113","0","10","0"
"Kazumi","111","11","21","0"
"Merrit","121","25","87","62"
"Seraphim","5","0","224","110"
"Tyronza","6","0","108","0"
"Ferrin","22","0","95","6"
"Hilery","73","0","36","0"
"Merit","28","18","298","200"
"Kaoru","162","66","17","6"
"Kellis","57","0","104","54"
"Farin","12","0","97","5"
"Rus","11","0","92","0"
"Cheney","8","0","209","116"
"Lessley","43","0","54","0"
"Maclyn","8","0","94","6"
"Prue","6","5","90","0"
"Carnie","90","11","11","0"
"Iria","10","5","85","0"
"Daney","11","0","77","0"
"Emra","6","0","79","0"
"Rimas","53","0","43","12"
"March","143","76","27","12"
"Delancey","5","0","99","23"
"Elbie","81","5","5","0"
"Summers","11","0","65","0"
"Lowe","40","0","48","12"
"Ah","74","10","11","0"
"Jaydee","20","7","596","535"
"Flory","31","5","48","0"
"Darly","26","0","124","78"
"Nazareth","33","0","1204","1165"
"Massey","49","0","43","20"
"Kendel","91","45","756","731"
"Rocki","5","0","65","0"
"Larin","20","0","87","38"
"Challis","16","15","82","15"
"Greeley","33","0","39","5"
"Kippy","151","86","16","15"
"Noris","72","24","24","6"
"Randyl","55","0","11","0"
"Malone","57","0","338","332"
"Emeral","10","0","53","0"
"Jem","10","0","107","54"
"Mosley","6","0","75","19"
"Rayme","15","5","62","11"
"Southern","6","0","114","61"
"Choyce","12","0","262","215"
"Marris","57","0","6","5"
"Moran","52","0","5","0"
"Marrin","16","0","40","0"
"Medley","5","0","50","0"
"Amory","57","5","625","622"
"Darriell","6","0","54","5"
"Stonie","25","0","28","0"
"Nebraska","43","16","26","0"
"Henly","10","0","42","0"
"Marle","6","0","46","0"
"Laudie","46","0","5","0"
"Camiel","35","0","15","0"
"Cashmere","5","0","697","652"
"Yoshimi","65","23","7","0"
"Hilaire","29","0","19","0"
"Chesleigh","10","0","38","0"
"Leal","24","0","23","0"
"Yarnell","11","0","88","53"
"Kery","25","10","66","35"
"Trinell","5","0","40","0"
"Arza","33","0","11","0"
"Meritt","5","0","89","50"
"Arzo","39","0","5","0"
"Mckinney","20","0","38","15"
"Carrey","6","5","42","0"
"Danieal","13","0","29","0"
"Esper","33","5","21","7"
"Phalon","10","0","37","5"
"Glenny","16","0","25","0"
"Money","6","0","68","35"
"Jennis","29","5","15","0"
"Stevy","5","0","33","0"
"Carris","17","0","21","0"
"Murphey","10","0","27","0"
"Galyn","37","27","25","0"
"Rell","12","0","23","0"
"Mckinly","5","0","30","0"
"Ebby","5","0","29","0"
"Chappell","30","0","16","12"
"Gaylin","97","66","15","13"
"Penrose","21","0","12","0"
"Cheyney","5","0","28","0"
"Claren","17","5","20","0"
"Kipley","27","0","5","0"
"Shenan","20","5","22","5"
"Lindsley","15","0","15","0"
"Lenley","5","0","25","0"
"Barin","6","0","50","26"
"Carmi","33","28","46","22"
"Wellesley","6","0","42","20"
"Emel","6","0","21","0"
"Ronne","67","54","14","0"
"Iry","15","0","12","0"
"Simmons","17","0","10","0"
"Tullie","17","0","10","0"
"Ohara","6","0","20","0"
"Delacy","5","0","20","0"
"Jemmie","110","91","6","0"
"Seiko","24","5","6","0"
"Sellers","22","0","11","10"
"Merdith","63","51","11","0"
"Gold","10","5","23","6"
"Alonzia","5","0","17","0"
"Rhonnie","15","0","6","0"
"Laurien","5","0","16","0"
"Malen","15","0","5","0"
"Yardley","6","0","107","93"
"Beasley","6","0","18","5"
"Void","17","0","9","7"
"Ynes","23","10","6","0"
"Cleary","10","0","8","0"
"Devry","17","0","11","10"
"Blaney","5","0","13","0"
"Erike","6","0","17","5"
"Tolly","11","0","6","0"
"Semon","12","0","5","0"
"Fiori","6","0","11","0"
"Delmis","10","0","7","0"
"Roche","14","0","15","12"
"Kenndy","7","0","10","0"
"Montique","5","0","41","29"
"Lisbon","5","0","11","0"
"Holloway","15","0","6","5"
"Lawrene","21","10","5","0"
"Linny","6","0","10","0"
"Arvi","10","0","10","5"
"Abney","5","0","10","0"
"Zannie","144","135","5","0"
"Tenny","31","28","11","0"
"Jer","5","0","12","5"
"Bivian","5","0","7","0"
"Mannon","7","0","5","0"
"Renzie","5","0","6","0"
"Sakae","58","52","5","0"
"Pharon","6","0","5","0"
"Java","7","0","17","13"
"Kimbrell","5","0","5","0"
"Sheon","5","0","5","0"
"Luren","5","0","5","0"
"Demeter","5","0","5","0"
"Challie","5","0","5","0"
"Mikele","5","0","65","61"
"Excel","5","0","25","24"
